conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
theresa| I wanted to take an athletic class as well as I think I need to stay in shape Do you have any feelings about those| [person:theresa f 0-0][person:theresa f 10-10][person:theresa f 12-12][person:janet f 19-19]
janet| Well you know I personally stay away from the gym But I believe Evelyn wanted to take a biking class on Tuesday mornings| [person:theresa f 1-1][person:janet f 3-3][location:gym s 9-9][person:janet f 11-11][person:evelyn f 13-13]
theresa| Hmm that sounds great|
theresa| Oh I almost forgot Jessica had been looking at a calculus class on Wednesday afternoons She wanted us all to sign up for that It works for me What about you| [person:theresa f 1-1][person:jessica f 4-4][person:jessica f 15-15][person:us g(janet:theresa:denise:evelyn) 17-17][person:theresa f 27-27][person:janet f 30-30]
janet| Sure I d be able to do that| [person:janet f 1-1]
theresa| That s good I think we ve got next semester all figured out then| [person:theresa f 3-3][person:we g(janet:theresa:denise:evelyn:jessica) 5-5]

conv:people_2019080801_51:aug_0:chat_0:chataug_0| richard tom| [person:richard m 0-0][person:tom m 1-1]
tom| Hello Richard| [person:richard m 1-1]
richard| Tom How s it going buddy| [person:tom m 0-0][person:richard m 5-5]
tom| Oh you know the usual| [person:richard m 1-1]
tom| Let s get this poker event planned that we always talk about but never follow through with| [person:we g(tom:richard) 8-8]
richard| I agree I haven t got together with friends in ahwile to play some poker| [person:richard m 0-0][person:richard m 2-2][person:friends g() 8-8]
richard| Who should we invite| [person:we g(tom:richard) 2-2]
tom| Obviously Malcom and Kyle they are both great to play cards with| [person:kyle m 3-3][person:they g(kyle) 4-4]
richard| Yeah|
richard| Susan and Kimberly are really into poker as well let s get them on the list| [person:susan f 0-0][person:kimberly f 2-2][person:them g(susan:kimberly) 12-12]
tom| Excellent idea|
tom| When and where|
richard| How about my place on Friday around 8pm| [person:richard m 2-2][location:place s 3-3]
tom| Say no more|
tom| I ll send the invites out via text Let me know what you d like people to bring| [person:tom m 0-0][person:tom m 9-9][person:richard m 12-12]
richard| Sounds great Talk to you then| [person:richard m 4-4]

conv:people_2019080801_52:aug_0:chat_0:chataug_0| julia victoria| [person:julia f 0-0][person:victoria f 1-1]
victoria| Hello|
julia| Hey V It s Uncle and Aunty s anniversary What should we get them| [person:we g(victoria:julia) 11-11][person:them g() 13-13]
victoria| Let s get them a coffee maker| [person:them g() 3-3]
julia| Yeah They got up early to help us so that makes sense| [person:them g() 1-1][person:we g(victoria:julia) 7-7]
victoria| They ve been helping us our whole life| [person:them g() 0-0][person:we g(victoria:julia) 4-4][person:we g(victoria:julia) 5-5]
julia| Yesh they deserve an Irish Coffee maker at this point| [person:them g() 1-1]
victoria| Let s do that then|
julia| Or maybe we should just get them a huge bottle of Bourban| [person:we g(victoria:julia) 2-2][person:them g() 6-6]
victoria| Remember when we were six and they took care of us when we were sick| [person:we g(victoria:julia) 2-2][person:them g() 6-6][person:we g(victoria:julia) 10-10][person:we g(victoria:julia) 12-12]
julia| Yeah You puked on me LOL| [person:victoria f 1-1][person:julia f 4-4]
victoria| Yeah you never will let that go| [person:julia f 1-1]
victoria| See you later Julia| [person:julia f 1-1][person:julia f 3-3]

conv:people_2019080801_56:aug_0:chat_0:chataug_0| cathy sam| [person:cathy f 0-0][person:sam m 1-1]
cathy| Hello|
sam| hello|
sam| i need your help| [person:sam m 0-0][person:cathy f 2-2]
cathy| We need to call to make an appointment| [person:we g(cathy:sam) 0-0]
cathy| We need to call Ricky and Albert| [person:we g(cathy:sam) 0-0][person:ricky m 4-4][person:albert m 6-6]
cathy| But when are you available to be home| [person:sam m 3-3][location:home s 7-7]
sam| Call Ricky for me| [person:ricky m 1-1][person:ricky m 3-3]
cathy| Dialing right now|
cathy| He is coming tomorrow at 9 am Will you be home| [person:ricky m 0-0][person:sam m 8-8][location:home s 10-10]
cathy| Hello|
sam| thank you| [person:cathy f 1-1]
sam| you have been helpful| [person:cathy f 0-0]
cathy| I won t be home tomorrow| [person:cathy f 0-0][location:home s 4-4]
sam| ok|
sam| what will you be doing| [person:cathy f 2-2]
cathy| Are you| [person:cathy f 1-1]
cathy| I work tomorrow at 8 am| [person:cathy f 0-0]
sam| Im going to a business meeting|
cathy| Should we schedule them to come next week| [person:we g(cathy:sam) 1-1][person:them g(ricky:albert) 3-3]
sam| yes we should| [person:we g(cathy:sam) 1-1]
cathy| Great I will tell them to come next Tuesday at 10am| [person:cathy f 1-1][person:them g(ricky:albert) 4-4]
sam| That sounds great|

conv:people_2019080801_57:aug_0:chat_0:chataug_0| johnny julie| [person:johnny m 0-0][person:julie f 1-1]
johnny| Hey Julie do you have any suggestions on some fun things to do with Kimberly and Cameron during their visit| [person:julie f 1-1][person:julie f 3-3][person:kimberly f 14-14][person:cameron f 16-16][person:their g(kimberly:cameron) 18-18]
julie| Hey Johnny I was just trying to decide that myself when you hit me Do you think they d rather go to the museums on the north side of town or the concert later tonight| [person:johnny m 1-1][person:julie f 2-2][person:julie f 9-9][person:johnny m 11-11][person:julie f 13-13][person:johnny m 15-15][person:their g(kimberly:cameron) 17-17]
johnny| I think the concernt tonight Since they re staying several days we could do the museum the next day| [person:johnny m 0-0][person:their g(kimberly:cameron) 6-6][person:we g(johnny:julie:kimberly:cameron) 11-11][location:museum s 15-15]
julie| Sounds like a plan There s a good taco place right outside of the venue we could probably go there first and load up on margaritas Do you know what time their flight is to arrive| [location:place s 9-9][person:we g(johnny:julie:kimberly:cameron) 15-15][person:johnny m 27-27][person:their g(kimberly:cameron) 31-31]
johnny| Kimberly said around noon That sounds like fun Let s do a day spa trip too Kimberly has been very stressed at work I think we could all use some relaxation Do you want to grill out one night| [person:kimberly f 0-0][person:kimberly f 16-16][person:johnny m 23-23][person:we g(johnny:julie) 25-25][person:julie f 32-32]
julie| A spa trip would be excellent I m down Yeah Cameron said that Kimberly s new job is something else Grilling out would be fun like old days I recently got a projector should I bring that too| [person:julie f 6-6][person:cameron f 10-10][person:kimberly f 13-13][person:julie f 28-28][person:julie f 34-34]
julie| For when we grill out I mean| [person:we g(johnny:julie:kimberly:cameron) 2-2][person:julie f 5-5]
johnny| Yes personally memories would be a fun thing Do you have some with Cameron and Kimberly in it too They d love it| [person:julie f 9-9][person:cameron f 13-13][person:kimberly f 15-15][person:their g(kimberly:cameron) 19-19]
julie| As a matter of fact I do I ve got some of everybody This is gonna be so fun Did they say how long they were going to be in town| [person:julie f 5-5][person:julie f 7-7][person:we g(johnny:julie) 12-12][person:their g(kimberly:cameron) 20-20][person:their g(kimberly:cameron) 24-24][location:town s 30-30]
johnny| They re staying 4 nights Sounds like we have some fun activities and great meals worked out I m excited Let s get them at the airport at noon on Friday I can t wait to get started on spending time with great friends and making new memories See you Friday| [person:their g(kimberly:cameron) 0-0][person:we g(johnny:julie) 7-7][person:johnny m 17-17][person:their g(kimberly:cameron) 23-23][person:johnny m 31-31][person:their g(kimberly:cameron) 43-43]

conv:people_2019080801_58:aug_0:chat_0:chataug_0| barbara carol| [person:barbara f 0-0][person:carol f 1-1]
carol| Hey Barb You re still coming to dinner right| [person:barbara f 2-2]
barbara| Of course I ll be there| [person:barbara f 2-2]
carol| I m planning what to make You know everyone better than I do What does everyone like| [person:carol f 0-0][person:barbara f 6-6][person:everyone g(carol:barbara) 8-8][person:carol f 11-11][person:everyone g(carol:barbara) 15-15]
barbara| Well I know that Jean and Andrea love Italian ever since they went to Italy last summer| [person:barbara f 1-1][person:jean f 4-4][person:andrea f 6-6][person:they g(jean:andrea) 11-11][location:italy s 14-14]
carol| Ok and what about Diane| [person:diane f 4-4]
barbara| Diane s absolute favorite is Mexican| [person:diane f 0-0]
carol| Hmm those are completely different Maybe we can do multiple Mexican dishes for apps and Italian for the main course| [person:everyone g(carol:barbara:jean:andrea:diane) 6-6]
barbara| I think that would be perfect How about a Mexican quiche as one of the apps and veggie lasagna for the main| [person:barbara f 0-0]
carol| Oh I can make both of those Perfect And I ll make margaritas for predinner drinks and then have some nice wine choices for dinner| [person:carol f 1-1][person:carol f 9-9]
barbara| Excellent Let me know what I can bring| [person:barbara f 2-2][person:barbara f 5-5]
carol| Ok I will make a list and figure that out I m excited| [person:carol f 1-1][person:carol f 10-10]
barbara| Great talk to you soon| [person:carol f 3-3]

conv:people_2019080801_62:aug_0:chat_0:chataug_0| danielle diane| [person:danielle f 0-0][person:diane f 1-1]
diane| Danielle do you have a moment| [person:danielle f 0-0][person:danielle f 2-2]
danielle| Sure What s up|
diane| My cousins are coming to visit this weekend| [person:diane f 0-0][person:cousins g() 1-1]
danielle| Partick and Sherrie| [person:sherrie f 2-2]
diane| Yeah|
danielle| That s nice|
diane| It is but a problem came up|
danielle| What happened|
diane| I m supposed to pick them up from Union Station but I have a work meeting| [person:diane f 0-0][person:cousins g(sherrie) 5-5][location:station s 9-9][person:diane f 11-11]
danielle| Would you like me to pick them up| [person:diane f 1-1][person:danielle f 3-3][person:cousins g(sherrie) 6-6]
diane| As long as you don t mind| [person:danielle f 3-3]
danielle| Sure|
diane| Can you bring them to lunch after I can pay| [person:danielle f 1-1][person:cousins g(sherrie) 3-3][person:diane f 7-7]
danielle| Sounds nice to me How about condado| [person:danielle f 3-3]
diane| They might like that But local is closer to the train station| [person:cousins g(sherrie) 0-0][location:train_station s 10-11]
danielle| Local it is|
danielle| Thanks again so much|

conv:people_2019080801_63:aug_0:chat_0:chataug_0| edgar ronald| [person:edgar m 0-0][person:ronald m 1-1]
edgar| Hi Ronald Do you want to go to the movies with Wayne| [person:ronald m 1-1][person:ronald m 3-3][person:wayne m 11-11]
ronald| Can we bring Juan and Douglas too| [person:we g(edgar:ronald) 1-1][person:juan m 3-3][person:douglas m 5-5]
edgar| Sure that would be great|
ronald| What movie do you want to watch| [person:edgar m 3-3]
edgar| Well Juan likes action movies| [person:juan m 1-1]
ronald| I hear that Douglas likes Horror| [person:ronald m 0-0][person:douglas m 3-3]
edgar| I m not a fan of horror but like action movies| [person:edgar m 0-0]
ronald| How about the new Avengers movie|
edgar| I hear it is very exciting| [person:edgar m 0-0]
ronald| Let s do that I think the men will love it| [person:ronald m 4-4][person:men m 7-7]

conv:people_2019080801_64:aug_0:chat_0:chataug_0| jack sharon| [person:jack m 0-0][person:sharon f 1-1]
jack| hello|
jack| What would your parents appreciate as a gift| [person:sharon f 2-2][person:parents g() 3-3]
jack| Are you there Sharon| [person:sharon f 1-1][person:sharon f 3-3]
jack| I was thinking that Martin and Lauren might like a bottle of wine as a gift| [person:jack m 0-0][person:martin m 4-4][person:lauren f 6-6]
jack| Do they drink| [person:they g(martin:lauren) 1-1]
sharon| Hello Jack| [person:jack m 1-1]
sharon| Sorry for the wait|
sharon| I was busy finding out if they drink| [person:sharon f 0-0][person:they g(martin:lauren) 6-6]
sharon| Martin and Lauren do like wine so that could be a perfect gift| [person:martin m 0-0][person:lauren f 2-2]
jack| Would they prefer red or white| [person:they g(martin:lauren) 1-1]
sharon| They prefer red wine| [person:they g(martin:lauren) 0-0]
jack| How about a Boujelais|
sharon| They would love a Boujelais| [person:they g(martin:lauren) 0-0]
jack| French wines are always nice|
sharon| For sure The French know how to make their wine| [person:they g(martin:lauren) 8-8]
jack| I will pick up a bottle this afternoon See you when I pick you up at 7 pm| [person:jack m 0-0][person:sharon f 9-9][person:jack m 11-11][person:sharon f 13-13]

conv:people_2019080801_65:aug_0:chat_0:chataug_0| henry ralph| [person:henry m 0-0][person:ralph m 1-1]
henry| So you remember that fishing trip that we re going on tomorrow| [person:ralph m 1-1][location:trip s 5-5][person:we g(henry:ralph) 7-7]
ralph| Yep I m looking forward to it| [person:ralph m 1-1]
henry| We need to organize the supplies We still haven t figured it out I know Kyle just got a new fishing pole so he can bring that| [person:we g(henry:ralph) 0-0][person:we g(henry:ralph) 6-6][person:henry m 13-13][person:kyle m 15-15][person:kyle m 23-23]
ralph| OK I ve got lots of bait so I can supply that| [person:ralph m 1-1][person:ralph m 8-8]
ralph| Also Jim was telling me that he did some shopping for the trip So I think he s got food covered| [person:jim m 1-1][person:ralph m 4-4][person:jim m 6-6][person:ralph m 14-14][person:jim m 16-16]
henry| That sounds good What about insect reppelent does any one have that|
ralph| Hmm I know Eddie always stocks up on those things I can ask him| [person:ralph m 1-1][person:eddie m 3-3][person:ralph m 10-10][person:eddie m 13-13]
