conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
dorothy| Sure I want to see that new IT movie I heard it s good| [person:dorothy f 1-1][location:dinner s 7-7][person:dorothy f 9-9][location:dinner s 11-11]
hannah| So this Saturday we go to the movies and next Friday we have dinner with the Clarks| [person:we g(hannah:dorothy) 3-3][person:we g(hannah:dorothy) 11-11][location:dinner s 13-13]
dorothy| Yes that will work|

conv:people_2019090101_343:aug_0:chat_0:chataug_0| bobby carl| [person:bobby m 0-0][person:carl m 1-1]
bobby| Hey Carl Up for the movies tonight| [person:carl m 1-1]
carl| Sure am Are we going out or just streaming something here| [person:bobby_and_carl g(bobby:carl) 3-3][location:here s 10-10]
bobby| I guess we could do either I was thinking of inviting a few others| [person:bobby m 0-0][person:bobby_and_carl g(bobby:carl) 2-2][person:bobby m 6-6][person:edgar__walt__garry_and_gary g() 13-13]
carl| Oh who|
bobby| I was thinking Edgar Walt Garry and Gary| [person:bobby m 0-0][person:edgar m 3-3][person:walt m 4-4][person:garry m 5-5][person:gary m 7-7]
carl| Well I know that Garry and Gary are mad at each other so maybe not both of them| [person:carl m 1-1][person:garry m 4-4][person:gary m 6-6][person:garry_and_gary g(garry:gary) 17-17]
bobby| Oh no what happened|
carl| Well Garry asked out the girl that Gary likes and she said yes Gary says she only said yes because she got confused as to which Gary was asking her It s confusing| [person:garry m 1-1][person:gary m 7-7][person:the_gril_that_gary_likes f 10-10][person:gary m 13-13][person:the_gril_that_gary_likes f 15-15][person:the_gril_that_gary_likes f 20-20][person:gary m 26-26][person:the_gril_that_gary_likes f 29-29]
bobby| Hmm well maybe we should just leave out both of them What about Edgar and Walt| [person:bobby_and_carl g(bobby:carl) 3-3][person:garry_and_gary g(garry:gary) 10-10][person:edgar m 13-13][person:walt m 15-15]
carl| Yeah let s invite them for sure I know Edgar still hasn t seen the Tarantino movie and has been wanting to I d see it again for sure| [person:edgar_and_walt g(edgar:walt) 4-4][person:carl m 7-7][person:edgar m 9-9][person:carl m 22-22]
bobby| Oh me too Okay then we ll go out to the movies then I think it is still playing at the Music Box| [person:bobby m 1-1][person:bobby_and_carl g(bobby:carl) 5-5][person:bobby m 13-13][location:music_box s 21-22]
carl| Perfect Make sure that is something they want to do and text me back I ll buy the tickets| [person:edgar__walt__garry_and_gary g(edgar:walt:garry:gary) 6-6][person:carl m 12-12][person:carl m 14-14]
bobby| Okay great I ll get right back to you| [person:bobby m 2-2][person:carl m 8-8]

conv:people_2019090101_344:aug_0:chat_0:chataug_0| abigail emma| [person:abigail f 0-0][person:emma f 1-1]
abigail| Hi How are you doing| [person:abigail f 3-3]
emma| I am good Thanks How are you| [person:emma f 0-0][person:abigail f 6-6]
abigail| I am also good cheers| [person:abigail f 0-0]
emma| Can you please suggest which place is good| [person:abigail f 1-1][location:place g() 5-5]
abigail| I am ok with Los Angeles please check with all| [person:abigail f 0-0][location:los_angeles s 4-5]
emma| All are ok with Los Angeles so we can go there| [location:los_angeles s 4-5][person:we g(abigail:emma) 7-7][location:los_angeles s 10-10]
abigail| yes When will plan|
emma| Will go on next sunday by 1030PM|
abigail| wow even i am thinking the same| [person:abigail f 2-2]
emma| Great to hear how many days will stay there| [location:los_angeles s 8-8]
abigail| We can plan for arround 3 days| [person:we g(abigail:emma) 0-0]
emma| Sure cheers|

conv:people_2019090101_345:aug_0:chat_0:chataug_0| gabriel kelly| [person:gabriel m 0-0][person:kelly f 1-1]
gabriel| Hi Kelly Have you talked to Jen Keith Eva and Matt yet about the barbeque| [person:kelly f 1-1][person:kelly f 3-3][person:jen f 6-6][person:keith m 7-7][person:eva f 8-8][person:matt m 10-10]
kelly| Are we still having it next weekend by the pool| [person:we g(gabriel:kelly) 1-1]
gabriel| Yes What food and drinks should we have| [person:we g(gabriel:kelly) 6-6]
kelly| Well I know Jen is vegetarian So we have to have something vegetarian Maybe veggie burgers| [person:kelly f 1-1][person:jen f 3-3][person:we g(gabriel:kelly) 7-7]
gabriel| We can do that| [person:we g(gabriel:kelly) 0-0]
kelly| There s this new burger that Jen s been raving about| [person:jen f 6-6]
gabriel| It is Beyond Burger|
kelly| I think so That sounds familiar She would be happy with that| [person:kelly f 0-0][person:jen f 6-6]
gabriel| How about Keith Eva and Matt Do they have dietary needs| [person:keith m 2-2][person:eva f 3-3][person:matt m 5-5][person:they g(jen:keith:eva:matt) 7-7]
kelly| I think they are cool with anything I would say beer fruits and salad hamburgers and hotdogs and vodka for mixed drinks| [person:kelly f 0-0][person:they g(jen:keith:eva:matt) 2-2][person:kelly f 7-7]
gabriel| Okay That sounds good You wanna go shopping with me for the food and drinks| [person:kelly f 4-4][person:gabriel m 9-9]
kelly| Sure I am free tomorrow evening| [person:kelly f 1-1]

conv:people_2019090101_346:aug_0:chat_0:chataug_0| bob rebecca| [person:bob m 0-0][person:rebecca f 1-1]
bob| Hey Rebecca what do you think we should bring when we visit Alex and Melinda this summer| [person:rebecca f 1-1][person:rebecca f 4-4][person:bob___rebecca g(bob:rebecca) 6-6][person:bob___rebecca g(bob:rebecca) 10-10][person:alex m 12-12][person:melinda f 14-14]
rebecca| You know for as long as we ve been neighbors with them I don t know much about them Do you| [person:bob m 0-0][person:bob___rebecca g(bob:rebecca) 6-6][person:melinda___alex g(melinda:alex) 11-11][person:rebecca f 12-12][person:melinda___alex g(melinda:alex) 18-18][person:bob m 20-20]
bob| Well I ve talked to Alex a few times about hotdogs He seems to really love hotdogs| [person:bob m 1-1][person:alex m 5-5][person:alex m 11-11]
rebecca| That actually reminds me I once had an intense conversation with Melinda about tacos We talked for hours about them| [person:rebecca f 3-3][person:rebecca f 4-4][person:melinda f 11-11][person:bob___rebecca g(bob:rebecca) 14-14][person:melinda___alex g(melinda:alex) 19-19]
bob| Well I guess we can just guess that Alex loves hotdogs and Melinda loves her tacos| [person:bob m 1-1][person:bob___rebecca g(bob:rebecca) 3-3][person:alex m 8-8][person:melinda f 12-12][person:melinda f 14-14]
rebecca| Yeah that s a pretty good guess It seems like a safe choice|
bob| OK shall I get the tacos then| [person:bob m 2-2]
rebecca| OK I know a good hotdog spot so I ll pick those up| [person:rebecca f 1-1][person:rebecca f 8-8]
bob| Alright I ll see you at their place then| [person:bob m 1-1][person:rebecca f 4-4][person:melinda___alex g(melinda:alex) 6-6][location:place s 7-7]
rebecca| Sure thing see you can t wait to try those tacos| [person:bob m 3-3]

conv:people_2019090101_347:aug_0:chat_0:chataug_0| clyde eric| [person:clyde m 0-0][person:eric m 1-1]
eric| What s up Clyde pumped for our workout session| [person:clyde m 3-3][person:our g(eric:clyde) 6-6]
clyde| Yeah Bro I m ready for this| [person:clyde m 2-2]
eric| We need to get some things first| [person:our g(eric:clyde) 0-0]
clyde| What do we need just tell me| [person:our g(eric:clyde) 2-2][person:clyde m 6-6]
eric| We ll need a giant tire a sledgehammer some jump ropes and kettle bells| [person:our g(eric:clyde) 0-0]
clyde| Okay I know Dennis Gary and Tim can help out with that| [person:clyde m 1-1][person:dennis m 3-3][person:gary m 4-4][person:tim m 6-6]
eric| Dennis has that big tire right| [person:dennis m 0-0]
clyde| Yeah and Gary has a sledgehammer| [person:gary m 2-2]
eric| Tim also has kettle bells Now we just need the jump ropes| [person:tim m 0-0][person:our g(eric:clyde) 6-6]
clyde| That s simple bro I can pick those up| [person:clyde m 4-4]
eric| Nice I ll bring some bottles of water then for everyone| [person:eric m 1-1][person:everyone g(eric:clyde:dennis:gary:tim) 10-10]
clyde| Nice I ll see you them Let s get pumped| [person:clyde m 1-1][person:eric m 4-4]

conv:people_2019090101_348:aug_0:chat_0:chataug_0| dave walter| [person:dave m 0-0][person:walter m 1-1]
walter| Hey Do you want to go rock climbing this weekend| [person:dave m 2-2][location:rock_climbing u 6-7]
dave| That sounds great Should we invite Gabriel Carl and John as well| [person:we g(walter:dave) 4-4][person:gabriel m 6-6][person:carl m 7-7][person:john m 9-9]
walter| I already did They re all in| [person:walter m 0-0][person:they g(gabriel:carl:john) 3-3]
dave| Fantastic What all do we need to bring on the trip| [person:we g(walter:dave) 4-4][location:rock_climbing s 10-10]
walter| We ll need the basic gear of course Carabiners and rope| [person:we g(walter:dave) 0-0]
dave| Also water and snacks we ll be out there for a while| [person:we g(walter:dave) 4-4][location:rock_climbing s 8-8]
walter| Gabriel has a million clips do you think he could bring enough for everyone| [person:gabriel m 0-0][person:dave m 6-6][person:gabriel m 8-8][person:everyone g(walter:dave:gabriel:carl:john) 13-13]
dave| I m sure he can I ll bring snacks for everyone| [person:dave m 0-0][person:gabriel m 3-3][person:dave m 5-5][person:everyone g(walter:dave:gabriel:carl:john) 10-10]
walter| Perfect I ll bring water I think everyone else has their own gear| [person:walter m 1-1][person:walter m 5-5][person:everyone g(walter:dave:gabriel:carl:john) 7-7][person:they g(gabriel:carl:john) 10-10]
dave| It s a plan We ll see you this weekend| [person:we g(walter:dave) 4-4][person:walter m 7-7]

conv:people_2019090101_349:aug_0:chat_0:chataug_0| jordan william| [person:jordan m 0-0][person:william m 1-1]
jordan| Hey William what s up| [person:william m 1-1]
william| Pretty good Jordan pretty good| [person:jordan m 2-2]
jordan| Cool you guys are still down for going hiking right| [person:william m 1-1]
william| Yeah I just talked to Austin Joe and Paul yesterday We re all set| [person:william m 1-1][person:austin m 5-5][person:joe m 6-6][person:paul m 8-8][person:we g(jordan:william:austin:joe:paul) 10-10]
jordan| Great I was just wondering if we need to get anything for the trip| [person:jordan m 1-1][person:we g(jordan:william:austin:joe:paul) 6-6][location:trip s 13-13]
william| Well I think we still need a few water bottles and maybe a speaker for music| [person:william m 1-1][person:we g(jordan:william:austin:joe:paul) 3-3]
jordan| I think that s a good idea Who should bring what| [person:jordan m 0-0]
william| I ll tell Austin and Joe to get the water And Paul can get the speaker| [person:william m 0-0][person:austin m 3-3][person:joe m 5-5][person:paul m 11-11]
jordan| Yeah that sounds dope Can t wait to see you guys| [person:william m 9-9]
william| Yeah me too It s going to be so fun| [person:william m 1-1][location:trip s 3-3]

conv:people_2019090101_350:aug_0:chat_0:chataug_0| catherine james| [person:catherine f 0-0][person:james m 1-1]
catherine| Hey James do you have any idea what we should do when Sandra and Monica gets here| [person:james m 1-1][person:james m 3-3][person:we g(catherine:james) 8-8][person:sandra f 12-12][person:monica f 14-14][location:town s 16-16]
james| I really don t know Catherine| [person:james m 0-0][person:catherine f 5-5]
catherine| I hear there is a music festival at the town hall this weekend| [person:catherine f 0-0][location:town s 2-2][location:town s 9-9]
james| That sounds like a great place to go since both of them likes music| [location:town s 5-5][person:them g(monica:sandra) 11-11]
catherine| Yea i was thinking about it too| [person:catherine f 1-1][location:town s 5-5]
james| Do they have food stool at the music festival as well| [person:they g(monica:sandra) 1-1]
catherine| I believe so i know there are many food vendors that will be there as well| [person:catherine f 0-0][person:catherine f 3-3][location:town s 5-5][location:town s 13-13]
james| ok i think that would be a great idea| [person:james m 1-1]
catherine| ok lets tell Sandra and Monica our idea I am sure they will love it| [person:monica f 3-3][person:monica f 5-5][person:our g(catherine:james) 6-6][person:catherine f 8-8][person:they g(monica:sandra) 11-11][location:town s 14-14]
james| Yes i can t wait to go too| [person:james m 1-1]

conv:people_2019090101_351:aug_0:chat_0:chataug_0| andy maria| [person:andy m 0-0][person:maria f 1-1]
andy| Hi how are you doing didn t you go out last night| [person:maria f 3-3][person:maria f 7-7]
maria| Yeah I ended up back at Roses place We had a good night but it got late so I stayed over| [person:maria f 1-1][person:we g(maria) 8-8][person:maria f 18-18]
andy| I thought you were taking it easy Are you going out again tonight| [person:andy m 0-0][person:maria f 2-2][person:maria f 8-8]
maria| Yes but I have a problem I left my shoes at her place and I need them| [person:maria f 2-2][person:maria f 6-6][person:maria f 8-8][person:rose f 11-11][person:maria f 14-14]
andy| Can you call out at lunch and pick them up| [person:maria f 1-1]
maria| Not really I have a ton of work to do in the office and don t think I can get away Could you grab them for me| [person:maria f 2-2][person:maria f 17-17][person:andy m 22-22][person:maria f 26-26]
andy| I can get them but not right now When do you need them| [person:andy m 0-0][person:maria f 10-10]
maria| You are a lifesaver If you could get them on your way home that would be perfect| [person:andy m 0-0][person:andy m 5-5][person:andy m 10-10]
