conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:street s 8-8][location:mall s 19-19]
malcolm| I think IMAX would be the best choice| [person:malcolm m 0-0]
gregory| It sure is the best choice even though the tickets cost more|
malcolm| Well it doesn t matter since we want to enjoy our time| [person:us g(malcolm:gregory) 6-6][person:us g(malcolm:gregory) 10-10]
gregory| You are right| [person:malcolm m 0-0]
malcolm| See you at the theater then| [person:gregory m 1-1]
gregory| Yes we will be meeting soon it will be fun| [person:us g(malcolm:gregory) 1-1]

conv:people_2019081802_106:aug_0:chat_0:chataug_0| joan lucy| [person:joan f 0-0][person:lucy f 1-1]
joan| Hi Lucy how are you| [person:lucy f 1-1][person:lucy f 4-4]
lucy| Hi Joan I m fine thanks And you| [person:joan f 1-1][person:lucy f 2-2][person:joan f 7-7]
joan| I m fine I would like to invite you for lunch on Tuesday| [person:joan f 0-0][person:joan f 3-3][person:lucy f 8-8]
joan| I have also decided to invite Debra Sandra and Doris What do you say| [person:joan f 0-0][person:debra f 6-6][person:sandra f 7-7][person:doris f 9-9][person:lucy f 12-12]
lucy| I m very happy I ll be there| [person:lucy f 0-0][person:lucy f 4-4]
joan| Perfect Can you give me some suggestions What are our friends favorite foods| [person:lucy f 2-2][person:joan f 4-4][person:our g(debra:sandra:doris) 9-9][person:friends g(debra:sandra:doris) 10-10]
lucy| Well I know that Debra and Doris love diner| [person:lucy f 1-1][person:debra f 4-4][person:doris f 6-6]
lucy| Instead Sandra really likes Italian food| [person:sandra f 1-1]
joan| I see I would like to please everyone| [person:joan f 0-0][person:joan f 2-2][person:everyone g(debra:sandra:doris) 7-7]
lucy| No problem I know a place where many Italian dishes are served| [person:lucy f 2-2]
joan| Fantastic Then we book there Thank you see you soon| [person:we g(joan:lucy) 2-2][person:lucy f 6-6][person:lucy f 8-8]

conv:people_2019081802_107:aug_0:chat_0:chataug_0| alexis catherine| [person:alexis f 0-0][person:catherine f 1-1]
alexis| Hey Catherine How are you Hope you re having a great day| [person:catherine f 1-1][person:catherine f 4-4][person:catherine f 6-6]
catherine| Hi Alexis I m doing fine thanks And you| [person:alexis f 1-1][person:catherine f 2-2][person:alexis f 8-8]
alexis| I m good Looking forward to having you Megan Theresa and Jackie over on Saturday night for dinner Should be so fun| [person:alexis f 0-0][person:catherine f 7-7][person:megan f 8-8][person:theresa f 9-9][person:jackie f 11-11]
catherine| Totally I think everyone is really looking forward to getting together| [person:catherine f 1-1][person:everyone g(alexis:catherine:megan:theresa:jackie) 3-3]
alexis| Me too for sure I m trying to decide on a menu and wanted to get your opinion What do you think everyone would like to eat I want to make something everyone will like| [person:alexis f 0-0][person:alexis f 4-4][person:catherine f 16-16][person:catherine f 20-20][person:everyone g(alexis:catherine:megan:theresa:jackie) 22-22][person:alexis f 27-27]
catherine| Well I know Megan and Jackie both like Italian food and if I m not mistaken I think Theresa really likes Mexican| [person:catherine f 1-1][person:megan f 3-3][person:jackie f 5-5][person:catherine f 12-12][person:catherine f 16-16][person:theresa f 18-18]
alexis| Right okay Hmmmm I wonder what I could make then so everybody gets to have something they like| [person:alexis f 3-3][person:alexis f 6-6][person:everyone g(alexis:catherine:megan:theresa:jackie) 11-11][person:everyone g(alexis:catherine:megan:theresa:jackie) 16-16]
catherine| Here s an idea What if you made a pasta dish like spaghetti or lasagna for Megan and Jackie and I can bring some tacos for Theresa That way it s not all on your shoulders Thoughts| [person:alexis f 6-6][person:megan f 16-16][person:jackie f 18-18][person:catherine f 20-20][person:theresa f 26-26][person:alexis f 34-34]
alexis| Oh that would be great I have a great lasagna recipe I can make Thank you so much Catherine| [person:alexis f 5-5][person:alexis f 11-11][person:catherine f 15-15][person:catherine f 18-18]
catherine| No problem I think it ll be super fun and everyone should be happy and full| [person:catherine f 2-2][person:everyone g(alexis:catherine:megan:theresa:jackie) 10-10]

conv:people_2019081802_109:aug_0:chat_0:chataug_0| lauren shawn| [person:lauren f 0-0][person:shawn m 1-1]
lauren| Hey hi there|
shawn| Hi I am fine whats up| [person:shawn m 1-1]
lauren| Nothing much Where are you| [person:shawn m 4-4]
shawn| Im in the house where are you| [location:house s 3-3][person:lauren f 6-6]
lauren| I am in the office I need a favour| [person:lauren f 0-0][location:office s 4-4][person:lauren f 5-5]
shawn| Ok i am listening| [person:shawn m 1-1]
lauren| Do you remember my friend Andrea| [person:shawn m 1-1][person:lauren f 3-3][person:andrea f 4-4][person:andrea f 5-5]
shawn| Yes is she ok| [person:andrea f 2-2]
lauren| Yes I forgot my books at her place but I am stuck at work| [person:lauren f 1-1][person:lauren f 3-3][person:andrea f 6-6][location:place s 7-7][person:lauren f 9-9]
shawn| Ok|
lauren| Please help me pick them i will pass by your housr to get them| [person:lauren f 2-2][person:lauren f 5-5][person:shawn m 9-9]
shawn| Ok no worries share the locations|
lauren| I will im a few| [person:lauren f 0-0]
lauren| In|
shawn| Thank you Much appreciated| [person:lauren f 1-1]

conv:people_2019081802_110:aug_0:chat_0:chataug_0| alex gabriel| [person:alex m 0-0][person:gabriel m 1-1]
alex| Gabriel Do you want to go out on Friday night| [person:gabriel m 0-0][person:alex m 2-2]
gabriel| I definitely do I talked to Pedro at the gym yesterday and it sounds like wants to also| [person:gabriel m 0-0][person:gabriel m 3-3][person:pedro m 6-6][location:gym s 9-9]
alex| I m cool with that If Pedro is coming out should we invite Scott and Michael as well| [person:alex m 0-0][person:pedro m 6-6][person:we g(alex:gabriel) 11-11][person:scott m 13-13][person:michael m 15-15]
gabriel| Don t forget Eduardo| [person:eduardo m 3-3]
alex| Good call Where do you guys want to go| [person:gabriel m 4-4]
gabriel| Well you know I always like Club Zero| [person:alex m 1-1][person:gabriel m 3-3][location:club s 6-6]
alex| Me too But that s like an hour drive for Scott Let s do something closer| [person:alex m 0-0][person:scott m 10-10]
gabriel| Good point I keep forgetting he moved What about The Fireside| [person:gabriel m 2-2][person:scott m 5-5]
alex| The Fireside is perfect Nice central location for everyone| [person:everyone g(alex:gabriel:pedro:scott:michael:eduardo) 8-8]
gabriel| Sounds good Let s plan on that You let Scott and Michael know and I ll talk to Pedro and Eduardo| [person:alex m 7-7][person:scott m 9-9][person:michael m 11-11][person:gabriel m 14-14][person:pedro m 18-18][person:eduardo m 20-20]
alex| Will do See you Friday| [person:gabriel m 3-3]

conv:people_2019081802_111:aug_0:chat_0:chataug_0| mike noah| [person:mike m 0-0][person:noah m 1-1]
noah| hai mike have you got ready to go to johnson s place| [person:mike m 1-1][person:mike m 3-3][person:johnson m 9-9][location:place s 11-11]
mike| yes noah i am preparing myself to go to johnsons place| [person:noah m 1-1][person:mike m 2-2][person:mike m 5-5][person:johnson m 9-9][location:place s 10-10]
noah| at what time you will start so that i will come and pick you| [person:mike m 3-3][person:noah m 8-8][person:mike m 13-13]
mike| at 700 pm whether we need to buy any items for the pokers night| [person:mike___noah g(noah:mike) 4-4]
noah| actually i don t know johnson s mind what he likes most| [person:noah m 1-1][person:johnson m 5-5][person:johnson m 9-9]
mike| ok well shall we ask bill because he knows johnson very much| [person:mike___noah g(noah:mike) 3-3][person:bill m 5-5][person:bill m 7-7][person:johnson m 9-9]
noah| ok that s a good idea now itself i ask about the johnson to bill| [person:noah m 8-8][person:johnson m 12-12][person:bill m 14-14]
mike| you try to ask what things we need to buy for the poker s night to johnson| [person:noah m 0-0][person:mike___noah g(noah:mike) 6-6][person:johnson m 16-16]
noah| ok mike i also i ask whether he is interested in getting some snacks like items| [person:mike m 1-1][person:noah m 2-2][person:noah m 4-4][person:bill m 7-7]
mike| ok bill knows much better than us about johnson so surely he will solve our issues| [person:bill m 1-1][person:mike___noah g(noah:mike) 6-6][person:johnson m 8-8][person:bill m 11-11][person:mike___noah g(noah:mike) 14-14]

conv:people_2019081802_113:aug_0:chat_0:chataug_0| grace jean| [person:grace f 0-0][person:jean f 1-1]
jean| Hey Grace remember Amanda| [person:grace f 1-1][person:amanda f 3-3]
grace| Yeah I do what s up Is she coming around today| [person:grace f 1-1][person:amanda f 7-7]
jean| Yep she ll be out drinking for a while but I can t go pick her up because of work| [person:amanda f 1-1][person:jean f 10-10][person:amanda f 15-15]
grace| She can t grab an uber or something| [person:amanda f 0-0]
jean| Unfortunately not So I want to ask you a favor can you go pick her up for me until I arrive| [person:jean f 3-3][person:grace f 7-7][person:grace f 11-11][person:amanda f 14-14][person:jean f 17-17][person:jean f 19-19]
grace| I can t I ll be in a meeting with Pete around that time| [person:grace f 0-0][person:grace f 3-3][person:pete m 10-10]
jean| Is that meeting urgent Maybe you could reschedule| [person:grace f 5-5]
grace| Reschedule a meeting just to pick someone up at a bar| [person:amanda f 6-6][location:bar s 10-10]
jean| I know it sounds stupid but Amanda doesn t come around often can you do that for me please| [person:jean f 0-0][person:amanda f 6-6][person:grace f 13-13][person:jean f 17-17]
grace| Sure I ll tell Pete we ll have to talk a little earlier then| [person:grace f 1-1][person:pete m 4-4][person:we g(grace:pete) 5-5]
jean| Thanks I knew I could count on you| [person:jean f 1-1][person:jean f 3-3][person:grace f 7-7]

conv:people_2019081802_114:aug_0:chat_0:chataug_0| laura rachel| [person:laura f 0-0][person:rachel f 1-1]
rachel| Laura when we are goint to Wilboroghs| [person:laura f 0-0][person:we g(rachel:laura) 2-2][person:wilboroghs g() 6-6]
laura| Oh I have forgotten it Ok we shall push off at 5 o clock| [person:laura f 1-1][person:we g(rachel:laura) 6-6]
rachel| But Laura we cannot go with empty hands no| [person:laura f 1-1][person:we g(rachel:laura) 2-2]
laura| you are right what will be buy for them| [person:rachel f 0-0][person:wilboroghs g() 8-8]
rachel| I think we can buy some carrot cake They like it| [person:rachel f 0-0][person:we g(rachel:laura) 2-2][person:wilboroghs g() 8-8]
laura| Thats ok but we should get some toffees for Ethan| [person:we g(rachel:laura) 3-3][person:ethan m 9-9]
rachel| Right he likes that Anything else we should by| [person:ethan m 1-1][person:we g(rachel:laura) 6-6]
laura| I think thats enough Can you buy it| [person:laura f 0-0][person:rachel f 5-5]
rachel| No Laura I am busy with some works Can you please get it| [person:laura f 1-1][person:rachel f 2-2][person:laura f 9-9]
laura| Ok I shall then go to supermarket now to get it| [person:laura f 1-1]
rachel| Great we shall meet in the evening| [person:we g(rachel:laura) 1-1]

conv:people_2019081802_115:aug_0:chat_0:chataug_0| jordan marilyn| [person:jordan m 0-0][person:marilyn f 1-1]
jordan| Are you excited| [person:marilyn f 1-1]
marilyn| About what|
jordan| Ashley Sophia Carl and Raphael are coming to visit us| [person:ashley f 0-0][person:sophia f 1-1][person:carl m 2-2][person:us g(jordan:marilyn) 9-9]
marilyn| I am not exactly excited More like worried| [person:marilyn f 0-0]
jordan| What are you worrying about I thought you liked them| [person:marilyn f 2-2][person:jordan m 5-5][person:marilyn f 7-7][person:them g(ashley:sophia:carl) 9-9]
marilyn| Don t get me wrong I really do| [person:marilyn f 3-3][person:marilyn f 5-5]
jordan| Then what is the problem|
marilyn| You know how anxious I am about having guests| [person:jordan m 0-0][person:marilyn f 4-4]
jordan| What has you anxious this time We have known these guys for years| [person:marilyn f 2-2][person:we g(jordan:marilyn) 6-6]
marilyn| What am I going to give them to eat What if they do not like the food| [person:marilyn f 2-2][person:them g(ashley:sophia:carl) 6-6][person:they g(ashley:sophia:carl) 11-11]
jordan| I am here to help you Want me to pick up some items from the grocery on my way back from work| [person:jordan m 0-0][person:marilyn f 5-5][person:jordan m 7-7][person:jordan m 17-17]
marilyn| That would be great Get me some ingredients to make lasagna and meat loaf| [person:marilyn f 5-5]
jordan| If that is what you are planning to serve then it is best I do the cooking You know I cook those dishes better than you| [person:marilyn f 4-4][person:jordan m 13-13][person:marilyn f 17-17][person:jordan m 19-19][person:marilyn f 25-25]
marilyn| Who told you that I was planning to cook| [person:jordan m 2-2][person:marilyn f 4-4]
jordan| Lol|

conv:people_2019081802_116:aug_0:chat_0:chataug_0| alexis grace| [person:alexis f 0-0][person:grace f 1-1]
alexis| hey hi ther|
grace| as we discussed earlier what is your plan| [person:we g(alexis:grace) 1-1][person:alexis f 6-6]
alexis| i think new jersey is ok| [person:alexis f 0-0]
grace| did you get a return ticket| [person:alexis f 1-1]
alexis| yes do you have one for your self and did you remember to tag along Jill Nicole and Juila| [person:grace f 2-2][person:grace f 6-6][person:grace f 10-10][person:jill f 15-15][person:nicole f 16-16]
grace| yes we did they are all in for the trip| [person:we g(alexis:grace) 1-1][person:they g(jill:nicole) 3-3]
alexis| when are their return dates| [person:they g(jill:nicole) 2-2]
