conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
klay| Hi Bradley are you free to talk now| [person:bradley m 1-1][person:bradley m 3-3]
bradley| Hello Klay yes I free to tell me what is the matter| [person:klay m 1-1][person:bradley m 3-3][person:bradley m 7-7]
klay| We bought the tickets for the tournament this weekend right But how can we reach there| [person:klay_and_bradley g(klay:bradley) 0-0][person:klay_and_bradley g(klay:bradley) 13-13]
bradley| Hey I noticed that the tickets allowed a plus one so we both can invite Dany and Rebecca| [person:bradley m 1-1][person:klay_and_bradley g(klay:bradley) 11-11][person:dany f 15-15][person:rebecca f 17-17]
klay| Wow that s a nice idea and the girls will be very happy| [person:dany_and_rebecca g(dany:rebecca) 8-8]
bradley| Yes we ask them to pick us from our home to the tournament| [person:klay_and_bradley g(klay:bradley) 1-1][person:dany_and_rebecca g(dany:rebecca) 3-3][person:klay_and_bradley g(klay:bradley) 6-6][person:klay_and_bradley g(klay:bradley) 8-8][location:home s 9-9]
klay| Okay ask them about this and let me know| [person:dany_and_rebecca g(dany:rebecca) 2-2][person:klay m 7-7]
bradley| Okay I will ask them and let you know by this evening| [person:bradley m 1-1][person:dany_and_rebecca g(dany:rebecca) 4-4][person:klay m 7-7]
klay| I will be waiting for your positive reply and don t forget to call me a day before the tournament to remind me| [person:klay m 0-0][person:bradley m 5-5][person:klay m 14-14][person:klay m 22-22]
bradley| Okay I will call you and remain you a day before the tournament| [person:bradley m 1-1][person:klay m 4-4][person:klay m 7-7]

conv:people_chats_04182020_345:aug_0:chat_0:chataug_0| ell nick| [person:ell f 0-0][person:nick m 1-1]
nick| Hey Ell What are you doing brother| [person:ell f 1-1][person:ell f 4-4][person:ell f 6-6]
ell| Hey Nick I am reviewing our check list for our South African trip| [person:nick m 1-1][person:ell f 2-2][person:our g(nick:ell) 5-5][person:our g(nick:ell) 9-9]
nick| Oh great I hope we ll have great fun there| [person:nick m 2-2][person:our g(nick:ell) 4-4]
ell| Yeah we will surely have a great fun in this trip| [person:our g(nick:ell) 1-1]
nick| I m looking forward to see Sheema so that I can propose her| [person:nick m 0-0][person:sheema f 6-6][person:nick m 9-9][person:sheema f 12-12]
ell| I wonder if that is a good idea| [person:ell f 0-0]
nick| Why do you think that it isn t a good idea to propose her| [person:ell f 2-2][person:sheema f 13-13]
ell| Because that would be too quick to propose her| [person:sheema f 8-8]
ell| Before taking any decision just consult your sister Summaiya as she knows her better than anyone else| [person:nick m 6-6][person:sister f 7-7][person:sister f 8-8][person:sister f 10-10][person:sheema f 12-12]
nick| I don t think that it is required to talk about her with my sister But I still wonder if you re right about it| [person:nick m 0-0][person:sheema f 11-11][person:nick m 13-13][person:sister f 14-14][person:nick m 16-16][person:ell f 20-20]
ell| Yeah I am sure They are friends since childhood| [person:ell f 1-1][person:they g(sheema:sister) 4-4][person:they g(sheema:sister) 6-6]
nick| Okay I ll do it in your way then I ll talk to my sister about her| [person:nick m 1-1][person:ell f 6-6][person:nick m 9-9][person:nick m 13-13][person:sister f 14-14][person:sheema f 16-16]
ell| Okay talk to her about this and pack your bags for the trip| [person:sister f 3-3][person:nick m 8-8]
nick| Okay I ll do it Thanks for the advice| [person:nick m 1-1]

conv:people_chats_04182020_346:aug_0:chat_0:chataug_0| sydney tommy| [person:sydney f 0-0][person:tommy m 1-1]
sydney| Tommy I think we should tell Charlotte what we saw today| [person:tommy m 0-0][person:sydney f 1-1][person:we g(sydney:tommy) 3-3][location:charlotte s 6-6][person:we g(sydney:tommy) 8-8]
tommy| Yes Sydney I thought that the trash bags outside of her door were making noises until I realized that there were rats in it| [location:sydney s 1-1][person:tommy m 2-2][person:charlotte f 10-10][person:tommy m 16-16]
sydney| Yes it was absolutely disgusting|
tommy| I was okay with all that trash before but not after the rats we saw today| [person:tommy m 0-0][person:we g(sydney:tommy) 13-13]
sydney| What if those rats enter our house| [person:our g(sydney:tommy) 5-5]
tommy| I would go crazy and never enter our apartment again| [person:tommy m 0-0][person:our g(sydney:tommy) 7-7][location:apartment s 8-8]
sydney| Let s talk to Charlotte about this| [location:charlotte s 4-4]
tommy| How should we tell her| [person:we g(sydney:tommy) 2-2][person:charlotte f 4-4]
sydney| We ll tell her it s unhygienic to keep trash this way and that she should take it to the dumpster more often| [person:we g(sydney:tommy) 0-0][person:charlotte f 3-3][person:charlotte f 14-14]
tommy| Okay we ll talk to her tomorrow| [person:we g(sydney:tommy) 1-1][person:charlotte f 5-5]

conv:people_chats_04182020_348:aug_0:chat_0:chataug_0| alicia dwayne| [person:alicia f 0-0][person:dwayne m 1-1]
alicia| Hey Dwayne What are you bringing for thanksgiving dinner at Newton s house| [person:dwayne m 1-1][person:dwayne m 4-4][person:newton m 10-10]
dwayne| I didn t think about it yet What are you planning to bring| [person:dwayne m 0-0][person:alicia f 9-9]
alicia| I thought of buying fruits but Bryan already took the responsibility of fruits| [person:alicia f 0-0][person:bryan m 6-6]
dwayne| Now what will you do I am planning to take responsibility of deserts| [person:alicia f 3-3][person:dwayne m 5-5]
alicia| That s great should I buy drinks for the dinner| [person:alicia f 4-4]
alicia| That s great Shall I buy drinks for dinner| [person:alicia f 4-4]
dwayne| Okay that will be great Alicia| [person:alicia f 5-5]
alicia| Okay I ll buy the drinks and will you please inform our cousins about the plan| [person:alicia f 1-1][person:dwayne m 8-8][person:cousins g(bryan:newton:newton) 11-11][person:cousins g(bryan:newton:newton) 12-12]
dwayne| Yeah sure I will inform our cousins Newton and Bryan regarding the plan| [person:dwayne m 2-2][person:cousins g(bryan) 5-5][person:cousins g(bryan) 6-6][person:cousins g(bryan:newton:newton) 7-7]
alicia| Okay I will meet you at Newton s place then| [person:alicia f 1-1][person:dwayne m 4-4][person:newton m 6-6][location:place s 8-8]
dwayne| See you at thanksgiving dinner| [person:alicia f 1-1]

conv:people_chats_04182020_351:aug_0:chat_0:chataug_0| deborah douglas| [person:deborah f 0-0][person:douglas m 1-1]
douglas| Deborah darling you have an annual checkup with Dr Ben today| [person:deborah f 0-0][person:deborah f 2-2][person:ben m 9-9]
deborah| No dad I don t want to meet that monster of a doctor| [person:douglas m 1-1][person:deborah f 2-2][person:ben m 12-12]
douglas| Why would you say such a thing dear What did he do| [person:deborah f 2-2][person:ben m 10-10]
deborah| He doesn t talk nicely to me and threatens me with his cold stethoscope and big injections| [person:ben m 0-0][person:deborah f 6-6][person:deborah f 9-9][person:ben m 11-11]
douglas| No Deborah he s not going to give you any injections and he s only going to use the stethoscope to check your health| [person:deborah f 1-1][person:ben m 2-2][person:deborah f 8-8][person:ben m 12-12][person:deborah f 22-22]
deborah| And he won t talk to me rudely| [person:ben m 1-1][person:deborah f 6-6]
douglas| No darling he ll be sweet and make you healthy| [person:ben m 2-2][person:deborah f 8-8]
deborah| Okay dad If you say so I trust you| [person:douglas m 1-1][person:douglas m 3-3][person:deborah f 6-6][person:douglas m 8-8]
douglas| Dr Ben will also give you your favorite icecream after the checkup| [person:ben m 1-1][person:deborah f 5-5][person:deborah f 6-6]
deborah| That s awesome I ll go with you to Dr Ben then| [person:deborah f 3-3][person:douglas m 7-7][person:ben m 10-10]

conv:people_chats_04182020_352:aug_0:chat_0:chataug_0| dakota frank| [person:dakota f 0-0][person:frank m 1-1]
frank| So have you decided yet Dakota| [person:dakota f 2-2][person:dakota f 5-5]
dakota| Not yet I ve read your email about those deals to Hawai But I really wanted to go to somewhere historic like Rome| [person:dakota f 2-2][person:frank m 5-5][location:hawai s 11-11][person:dakota f 13-13][location:rome s 22-22]
frank| Jack and Amanda really enjoyed their trip to Hawaii and said that the deal was only for a limited time| [person:jack m 0-0][person:amanda f 2-2][person:their g(frank:dakota:amanda:jack) 5-5][location:hawai s 6-6][location:hawai s 8-8]
dakota| You re putting me on a bind here I might call Amanda and ask her how was her vacation| [person:frank m 0-0][person:dakota f 3-3][person:dakota f 8-8][person:amanda f 11-11][person:amanda f 14-14][person:amanda f 17-17]
frank| Of course call her She loved Honolulu And at these prices it s one in a lifetime Not to mention the weather there is beautfiul this time of year| [person:amanda f 3-3][person:amanda f 4-4][location:honolulu s 6-6]
dakota| We can always go for some historic sightseeing in Europe next year I guess| [person:we g(frank:dakota) 0-0][location:europe s 9-9][person:dakota f 12-12]
frank| You know as they say Rome wasn t built in a day| [person:dakota f 0-0][person:they g(dakota:amanda:jack) 3-3]
dakota| Very funny Frank| [person:frank m 2-2]
frank| I see in your tone that you are about to concede Hawaii it is right| [person:frank m 0-0][person:dakota f 3-3][person:dakota f 6-6][location:hawai s 11-11][location:hawai s 12-12]
dakota| Yeah But I ll give Amanda a call first| [person:dakota f 2-2][person:amanda f 5-5]
frank| I just talked with Jack not long ago He is still overjoyed from their trip You ll see it from her too| [person:frank m 0-0][person:jack m 4-4][person:jack m 8-8][person:they g(amanda:jack) 13-13][person:dakota f 15-15][person:amanda f 20-20]
dakota| But you promise next time it s Europe| [person:frank m 1-1][location:europe s 7-7]
frank| Of course We ll go to the oldest most decrepit place in Europe if you want to| [person:we g(frank:dakota:amanda:jack) 2-2][location:place s 10-10][location:europe s 12-12][person:dakota f 14-14]
dakota| Hawaii can t be that boring with someone like you can it| [location:hawai s 0-0][person:dakota f 7-7][person:dakota f 9-9]
frank| Trust me it s going to be lots of fun| [person:frank m 1-1]

conv:people_chats_04182020_353:aug_0:chat_0:chataug_0| agnes simon| [person:agnes f 0-0][person:simon m 1-1]
simon| Hey Agnes are you coming to Harrison s party tonight| [person:agnes f 1-1][person:agnes f 3-3][person:harrison m 6-6]
agnes| Hello I shall come if Jonathon comes otherwise I might not come| [person:agnes f 1-1][person:jonathon m 5-5][person:agnes f 8-8]
simon| I don t really understand why do you like him he s selfcentered guy| [person:simon m 0-0][person:agnes f 7-7][person:jonathon m 9-9][person:jonathon m 10-10]
agnes| I don t mind what you think about us I just like him| [person:agnes f 0-0][person:simon m 5-5][person:us g(agnes:jonathon) 8-8][person:agnes f 9-9][person:jonathon m 12-12]
simon| Okay that s all your wish I just said you what I felt| [person:agnes f 4-4][person:simon m 6-6][person:agnes f 9-9][person:simon m 11-11]
agnes| Okay are you bringing the stuff for karaoke| [person:simon m 2-2]
simon| Yes I am bringing but will the stuff be safe| [person:simon m 1-1]
agnes| Don t worry about it Harrison is really trustworthy| [person:harrison m 5-5]
simon| Okay I will be coming early and drop the stuff| [person:simon m 1-1]
agnes| Cool see you soon in the party| [person:simon m 2-2]

conv:people_chats_04182020_355:aug_0:chat_0:chataug_0| denise jason| [person:denise f 0-0][person:jason m 1-1]
jason| Denise I can take care of Danielle So I want her custody| [person:denise f 0-0][person:jason m 1-1][person:danielle f 6-6][person:jason m 8-8][person:danielle f 10-10]
denise| No Jason even I also need Danielle s custody I can t live my daughter entirely to you| [person:jason m 1-1][person:denise f 3-3][person:danielle f 6-6][person:denise f 9-9][person:denise f 13-13][person:danielle f 14-14][person:jason m 17-17]
jason| She likes to stay with me the most So I will take her custody| [person:danielle f 0-0][person:jason m 5-5][person:jason m 9-9][person:danielle f 12-12]
denise| This conversation is not going to end So let us consult a lawyer| [person:we g(jason:denise) 9-9][person:jeremy m 12-12]
jason| I know a lawyer named Jeremy Shall I set an appointment to discuss about this| [person:jason m 0-0][person:jeremy m 3-3][person:jeremy m 5-5][person:jason m 7-7]
denise| No I| [person:denise f 1-1]
denise| No that s not a good option as he is biased towards you| [person:jeremy m 8-8][person:jason m 12-12]
jason| Do you know any other lawyer in the city who could justify both of us| [person:denise f 1-1][person:lawyer m 5-5][person:we g(jason:denise) 14-14]
denise| Yeah I know a lawyer and we can go to him and discuss about this| [person:denise f 1-1][person:lawyer m 4-4][person:we g(jason:denise) 6-6][person:lawyer m 10-10]
jason| Then fix an appointment with the lawyer tomorrow| [person:lawyer m 6-6]
denise| Ok I will fix an appointment and let you know the timings| [person:denise f 1-1][person:jason m 8-8]

conv:people_chats_04182020_357:aug_0:chat_0:chataug_0| jane tania| [person:jane f 0-0][person:tania f 1-1]
tania| I am very excited about your wedding| [person:tania f 0-0][person:jane f 5-5]
jane| I still cant believe that I m finally getting married| [person:jane f 0-0][person:jane f 5-5]
